vehicle,ts,fuel,ign,speed,n_msg,label,split
V01,2025-07-31 04:30:00,0.0,0.0,0.0,1,0,train
V01,2025-07-31 04:35:00,20.947,0.0,10.42,16,0,train
V01,2025-07-31 04:40:00,20.525,0.0,27.52,40,0,train
V01,2025-07-31 04:45:00,20.0,0.0,30.43,25,0,train
V01,2025-07-31 04:50:00,20.0,0.0,19.88,34,0,train
V01,2025-07-31 07:55:00,0.0,0.0,0.0,1,0,train
V01,2025-07-31 08:30:00,20.0,0.0,26.15,30,0,train
V01,2025-07-31 08:35:00,20.0,0.0,39.64,46,0,train
V01,2025-07-31 08:40:00,19.642,0.0,67.16,33,0,train
V01,2025-07-31 08:45:00,19.174,0.0,66.07,46,0,train
V01,2025-07-31 08:50:00,19.0,0.0,16.78,24,0,train
V01,2025-07-31 08:55:00,18.0,0.0,15.67,30,0,train
V01,2025-07-31 09:00:00,18.0,0.0,39.99,48,0,train
V01,2025-07-31 09:05:00,17.458,0.0,12.17,32,0,train
V01,2025-07-31 09:10:00,17.0,0.0,36.79,23,0,train
V01,2025-07-31 09:20:00,17.0,0.0,29.0,26,0,train
V01,2025-07-31 09:25:00,17.0,0.0,2.64,7,0,train
V01,2025-07-31 09:30:00,49.0,0.0,51.21,27,2,train
V01,2025-07-31 09:35:00,48.0,0.0,72.58,29,0,train
V01,2025-07-31 09:40:00,48.0,0.0,78.43,27,0,train
V01,2025-07-31 09:45:00,47.643,0.0,94.35,28,0,train
V01,2025-07-31 09:50:00,47.292,0.0,84.86,24,0,train
V01,2025-07-31 09:55:00,47.0,0.0,82.73,16,0,train
V01,2025-07-31 10:00:00,46.0,0.0,60.84,59,0,train
V01,2025-07-31 10:05:00,46.0,0.0,58.05,68,0,train
V01,2025-07-31 10:10:00,45.64,0.0,39.4,25,0,train
V01,2025-07-31 10:15:00,45.0,0.0,30.48,45,0,train
V01,2025-07-31 13:25:00,0.0,0.0,0.0,1,0,train
V01,2025-07-31 16:25:00,45.0,0.0,25.45,32,0,train
V01,2025-07-31 16:30:00,45.0,0.0,27.12,24,0,train
V01,2025-07-31 16:35:00,45.0,0.0,35.48,36,0,train
V01,2025-07-31 16:40:00,44.9,0.0,3.08,13,0,train
V01,2025-08-01 01:45:00,0.0,0.0,0.0,1,0,train
V01,2025-08-01 04:35:00,44.958,0.0,12.14,25,0,train
V01,2025-08-01 04:40:00,44.44,0.0,35.34,25,0,train
V01,2025-08-01 04:45:00,44.0,0.0,3.36,7,0,train
V01,2025-08-01 07:00:00,44.0,0.0,10.51,11,0,train
